k,Train MSE,Test MSE,Bias^2,Variance,Bayes,Approximated Test MSE
1,0.0,0.669490045252837,0.00740150861953956,0.3397527955383905,0.3274575000650937,0.6746118042230238
2,0.16679883750832564,0.5041791191875555,0.006836146205701315,0.1710741607263688,0.3257644743908734,0.5036747813229435
3,0.22259745364217706,0.4547102854349297,0.008191104908348509,0.11716967428459524,0.32770747274224526,0.453068251935189
4,0.2562701494766007,0.42732213015208315,0.010721608018139206,0.08775904095123636,0.3303482642664323,0.4288289132358079
5,0.2720193239504159,0.40859238763031386,0.009369072984587558,0.07078231374774478,0.3269345826771873,0.40708596940951963
7,0.28721044389586636,0.398493216569088,0.013196657813388007,0.05258933464944843,0.33133490636675295,0.3971208988295894
10,0.3138689066118923,0.3839491448080679,0.013049787457845243,0.03722509748220246,0.33227399103730215,0.3825488759773499
15,0.3342257854121013,0.3827767507762776,0.02884625139386457,0.025802309307344336,0.32794059217327237,0.38258915287448125
20,0.3441397118707756,0.3882563287413,0.04255405036345275,0.02011886813257707,0.32545899258547867,0.38813191108150846
30,0.3762429194235351,0.4037961339443813,0.06523182218532605,0.014119509679563706,0.3266493076946382,0.4060006395595279
40,0.3960017709991705,0.40605621820987103,0.06341595645331592,0.012156437768150148,0.33097478252282897,0.406547176744295
50,0.41824408446470956,0.435322131214016,0.09964206732698581,0.00944274517895314,0.3275153158150345,0.4366001283209735
60,0.4392045007831109,0.43145150546301286,0.09155280765856542,0.0074233284685948754,0.33224702609565304,0.4312231622228133
70,0.46060978234336025,0.49505112555378816,0.156163969812772,0.007147511896779355,0.3319327432343592,0.4952442249439105
80,0.47125903058817165,0.45464632540796984,0.12138282647580445,0.006159160644297893,0.3278503409382922,0.4553923280583945
90,0.47989199061885807,0.4719631897970376,0.1391639331598915,0.006120359804481246,0.3257503047747697,0.47103459773914247
100,0.49344527798701376,0.4842869404397963,0.1530563202643787,0.004316653461905267,0.3267682053937724,0.4841411791200564
